instance,base,only loop,only revisit,both
uniform-alpha_3-56-n10-novisit-20-rep_8.txt,225.211,225.211 (0%),218.602 (2.93%),218.602 (2.93%)
uniform-alpha_3-56-n10-novisit-30-rep_10.txt,226.558,226.558 (0%),218.602 (3.51%),218.602 (3.51%)
uniform-alpha_3-56-n10-novisit-30-rep_2.txt,208.125,208.125 (0%),199.774 (4.01%),199.774 (4.01%)
uniform-alpha_3-57-n10-novisit-10-rep_10.txt,184.429,184.429 (0%),181.029 (1.84%),181.029 (1.84%)
uniform-alpha_3-57-n10-novisit-10-rep_1.txt,184.429,184.429 (0%),181.029 (1.84%),181.029 (1.84%)
uniform-alpha_3-57-n10-novisit-10-rep_2.txt,184.429,184.429 (0%),181.029 (1.84%),181.029 (1.84%)
uniform-alpha_3-57-n10-novisit-10-rep_3.txt,195.466,189.092 (3.26%),192.815 (1.36%),189.092 (3.26%)
uniform-alpha_3-57-n10-novisit-10-rep_4.txt,186.45,186.45 (0%),183.248 (1.72%),183.248 (1.72%)
uniform-alpha_3-57-n10-novisit-10-rep_5.txt,206.27,206.27 (0%),205.516 (0.37%),205.516 (0.37%)
uniform-alpha_3-57-n10-novisit-10-rep_6.txt,186.45,186.45 (0%),183.248 (1.72%),183.248 (1.72%)
uniform-alpha_3-57-n10-novisit-10-rep_7.txt,186.45,186.45 (0%),183.248 (1.72%),183.248 (1.72%)
uniform-alpha_3-57-n10-novisit-10-rep_8.txt,184.429,184.429 (0%),181.029 (1.84%),181.029 (1.84%)
uniform-alpha_3-57-n10-novisit-10-rep_9.txt,211.177,211.177 (0%),205.516 (2.68%),205.516 (2.68%)
uniform-alpha_3-57-n10-novisit-20-rep_1.txt,195.466,189.092 (3.26%),192.815 (1.36%),189.092 (3.26%)
uniform-alpha_3-57-n10-novisit-20-rep_2.txt,211.205,211.205 (0%),205.544 (2.68%),205.544 (2.68%)
uniform-alpha_3-57-n10-novisit-20-rep_3.txt,195.466,189.092 (3.26%),194.395 (0.55%),189.092 (3.26%)
uniform-alpha_3-57-n10-novisit-20-rep_4.txt,184.429,184.429 (0%),181.029 (1.84%),181.029 (1.84%)
uniform-alpha_3-57-n10-novisit-20-rep_5.txt,206.27,206.27 (0%),205.516 (0.37%),205.516 (0.37%)
